Date,Country,Index_category,Index,Value
2024-09-01,IT,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,2.8
2024-06-01,IT,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,2.8
2024-03-01,IT,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,2.7
2023-12-01,IT,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,2.7
2023-09-01,IT,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,2.7
2023-06-01,IT,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,2.8
2023-03-01,IT,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,2.8
2022-12-01,IT,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,2.8
2022-09-01,IT,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,2.9
2022-06-01,IT,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,2.9
2022-06-01,ES,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,3.18
2022-09-01,ES,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,3.11
2022-12-01,ES,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,3.06
2023-03-01,ES,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,3.02
2023-06-01,ES,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,3.02
2023-09-01,ES,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,3.04
2023-12-01,ES,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,3.06
2024-03-01,ES,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,3.04
2024-06-01,ES,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,2.94
2024-09-01,ES,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,2.93
2024-12-01,ES,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,2.87
2025-03-01,ES,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,2.82
2025-06-01,ES,Financial_soundness,préstamos_dudosos_sobre_el_total_de_préstamos_brutos.,2.69
2025-06-01,IT,Financial_soundness,rendimiento_sobre_el_activo.,0.7
2025-03-01,IT,Financial_soundness,rendimiento_sobre_el_activo.,0.3
2024-12-01,IT,Financial_soundness,rendimiento_sobre_el_activo.,1.2
2024-09-01,IT,Financial_soundness,rendimiento_sobre_el_activo.,0.9
2024-06-01,IT,Financial_soundness,rendimiento_sobre_el_activo.,0.6
2024-03-01,IT,Financial_soundness,rendimiento_sobre_el_activo.,0.3
2023-12-01,IT,Financial_soundness,rendimiento_sobre_el_activo.,1.0
2023-09-01,IT,Financial_soundness,rendimiento_sobre_el_activo.,0.8
2023-06-01,IT,Financial_soundness,rendimiento_sobre_el_activo.,0.5
2023-03-01,IT,Financial_soundness,rendimiento_sobre_el_activo.,0.2
2022-12-01,IT,Financial_soundness,rendimiento_sobre_el_activo.,0.7
2022-09-01,IT,Financial_soundness,rendimiento_sobre_el_activo.,0.5
2022-06-01,IT,Financial_soundness,rendimiento_sobre_el_activo.,0.3
2022-06-01,ES,Financial_soundness,rendimiento_sobre_el_activo.,0.87
2022-09-01,ES,Financial_soundness,rendimiento_sobre_el_activo.,0.89
2022-12-01,ES,Financial_soundness,rendimiento_sobre_el_activo.,0.86
2023-03-01,ES,Financial_soundness,rendimiento_sobre_el_activo.,1.0
2023-06-01,ES,Financial_soundness,rendimiento_sobre_el_activo.,1.07
2023-09-01,ES,Financial_soundness,rendimiento_sobre_el_activo.,1.12
2023-12-01,ES,Financial_soundness,rendimiento_sobre_el_activo.,1.08
2024-03-01,ES,Financial_soundness,rendimiento_sobre_el_activo.,1.18
2024-06-01,ES,Financial_soundness,rendimiento_sobre_el_activo.,1.29
2024-09-01,ES,Financial_soundness,rendimiento_sobre_el_activo.,1.32
2024-12-01,ES,Financial_soundness,rendimiento_sobre_el_activo.,1.3
2025-03-01,ES,Financial_soundness,rendimiento_sobre_el_activo.,1.4
2025-06-01,ES,Financial_soundness,rendimiento_sobre_el_activo.,1.36
2025-06-01,IT,Financial_soundness,capital_de_nivel_1_sobre_activos.,6.8
2025-03-01,IT,Financial_soundness,capital_de_nivel_1_sobre_activos.,6.9
2024-12-01,IT,Financial_soundness,capital_de_nivel_1_sobre_activos.,6.8
2024-09-01,IT,Financial_soundness,capital_de_nivel_1_sobre_activos.,6.7
2024-06-01,IT,Financial_soundness,capital_de_nivel_1_sobre_activos.,6.6
2024-03-01,IT,Financial_soundness,capital_de_nivel_1_sobre_activos.,6.6
2023-12-01,IT,Financial_soundness,capital_de_nivel_1_sobre_activos.,6.5
2023-09-01,IT,Financial_soundness,capital_de_nivel_1_sobre_activos.,6.5
2023-06-01,IT,Financial_soundness,capital_de_nivel_1_sobre_activos.,6.4
2023-03-01,IT,Financial_soundness,capital_de_nivel_1_sobre_activos.,6.1
2022-12-01,IT,Financial_soundness,capital_de_nivel_1_sobre_activos.,6.3
2022-09-01,IT,Financial_soundness,capital_de_nivel_1_sobre_activos.,5.9
2022-06-01,IT,Financial_soundness,capital_de_nivel_1_sobre_activos.,5.9
2022-06-01,ES,Financial_soundness,capital_de_nivel_1_sobre_activos.,5.23
2022-09-01,ES,Financial_soundness,capital_de_nivel_1_sobre_activos.,5.22
2022-12-01,ES,Financial_soundness,capital_de_nivel_1_sobre_activos.,5.52
2023-03-01,ES,Financial_soundness,capital_de_nivel_1_sobre_activos.,5.59
2023-06-01,ES,Financial_soundness,capital_de_nivel_1_sobre_activos.,5.59
2023-09-01,ES,Financial_soundness,capital_de_nivel_1_sobre_activos.,5.59
2023-12-01,ES,Financial_soundness,capital_de_nivel_1_sobre_activos.,5.66
2024-03-01,ES,Financial_soundness,capital_de_nivel_1_sobre_activos.,5.66
2024-06-01,ES,Financial_soundness,capital_de_nivel_1_sobre_activos.,5.68
2024-09-01,ES,Financial_soundness,capital_de_nivel_1_sobre_activos.,5.65
2024-12-01,ES,Financial_soundness,capital_de_nivel_1_sobre_activos.,5.75
2025-03-01,ES,Financial_soundness,capital_de_nivel_1_sobre_activos.,5.76
2025-06-01,ES,Financial_soundness,capital_de_nivel_1_sobre_activos.,5.78
2025-06-01,IT,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,17.4
2025-03-01,IT,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,17.5
2024-12-01,IT,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,17.2
2024-09-01,IT,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,17.5
2024-06-01,IT,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,17.3
2024-03-01,IT,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,17.0
2023-12-01,IT,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,16.9
2023-09-01,IT,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,17.1
2023-06-01,IT,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,16.8
2023-03-01,IT,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,16.4
2022-12-01,IT,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,16.7
2022-09-01,IT,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,15.9
2022-06-01,IT,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,16.1
2022-06-01,ES,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,13.07
2022-09-01,ES,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,13.02
2022-12-01,ES,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,13.2
2023-03-01,ES,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,13.29
2023-06-01,ES,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,13.29
2023-09-01,ES,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,13.2
2023-12-01,ES,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,13.33
2024-03-01,ES,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,13.29
2024-06-01,ES,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,13.38
2024-09-01,ES,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,13.39
2024-12-01,ES,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,13.55
2025-03-01,ES,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,13.76
2025-06-01,ES,Financial_soundness,capital_ordinario_de_nivel_1_sobre_activos_ponderados_por_riesgo.,13.83
2025-10-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.5206
2025-09-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.3835
2025-08-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.3882
2025-07-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.4983
2025-06-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.6047
2025-05-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.66
2025-04-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.7563
2025-03-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.9191
2025-02-01,IT,Interest_rates,Tipo_interés_medio_ponderado,3.9923
2025-01-01,IT,Interest_rates,Tipo_interés_medio_ponderado,4.133
2024-12-01,IT,Interest_rates,Tipo_interés_medio_ponderado,4.4007
