Country,Region,year,index,value
IT,Puglia,2016-01-01,Primary,2626.4
IT,Puglia,2017-01-01,Primary,2586.7000000000003
IT,Puglia,2018-01-01,Primary,2538.7999999999997
IT,Puglia,2019-01-01,Primary,2594.2999999999997
IT,Puglia,2020-01-01,Primary,2579.4
IT,Puglia,2021-01-01,Primary,2696.3
IT,Puglia,2022-01-01,Primary,2698.9
IT,Puglia,2023-01-01,Primary,2540.1000000000004
IT,Sardegna,2015-01-01,Primary,1418.4
IT,Sardegna,2016-01-01,Primary,1445.6
IT,Sardegna,2017-01-01,Primary,1399.5
IT,Sardegna,2018-01-01,Primary,1397.3999999999999
IT,Sardegna,2019-01-01,Primary,1326.8999999999999
IT,Sardegna,2020-01-01,Primary,1206.1
IT,Sardegna,2021-01-01,Primary,1211.9
IT,Sardegna,2022-01-01,Primary,1218.7
IT,Sardegna,2023-01-01,Primary,1228.7
IT,Sicilia,2015-01-01,Primary,3770.6
IT,Sicilia,2016-01-01,Primary,3792.6000000000004
IT,Sicilia,2017-01-01,Primary,3740.7
IT,Sicilia,2018-01-01,Primary,3703.9
IT,Sicilia,2019-01-01,Primary,3774.2999999999997
IT,Sicilia,2020-01-01,Primary,3610.7
IT,Sicilia,2021-01-01,Primary,3813.6000000000004
IT,Sicilia,2022-01-01,Primary,3716.2
IT,Sicilia,2023-01-01,Primary,3608.7999999999997
IT,Toscana,2015-01-01,Primary,2521.6000000000004
IT,Toscana,2016-01-01,Primary,2608.7999999999997
IT,Toscana,2017-01-01,Primary,2397.2
IT,Toscana,2018-01-01,Primary,2572.5
IT,Toscana,2019-01-01,Primary,2485.2999999999997
IT,Toscana,2020-01-01,Primary,2270.0
IT,Toscana,2021-01-01,Primary,2142.4
IT,Toscana,2022-01-01,Primary,2190.4
IT,Toscana,2023-01-01,Primary,2096.7000000000003
IT,Trentino-Alto Adige/Südtirol,2015-01-01,Primary,1920.3999999999999
IT,Trentino-Alto Adige/Südtirol,2016-01-01,Primary,1944.5
IT,Trentino-Alto Adige/Südtirol,2017-01-01,Primary,1768.3
IT,Trentino-Alto Adige/Südtirol,2018-01-01,Primary,1985.3
IT,Trentino-Alto Adige/Südtirol,2019-01-01,Primary,1922.3000000000002
IT,Trentino-Alto Adige/Südtirol,2020-01-01,Primary,1688.1
IT,Trentino-Alto Adige/Südtirol,2021-01-01,Primary,1705.8000000000002
IT,Trentino-Alto Adige/Südtirol,2022-01-01,Primary,1760.1
IT,Trentino-Alto Adige/Südtirol,2023-01-01,Primary,1805.7
IT,Umbria,2015-01-01,Primary,618.6
IT,Umbria,2016-01-01,Primary,547.1999999999999
IT,Umbria,2017-01-01,Primary,542.4
IT,Umbria,2018-01-01,Primary,574.1999999999999
IT,Umbria,2019-01-01,Primary,605.4000000000001
IT,Umbria,2020-01-01,Primary,569.0
IT,Umbria,2021-01-01,Primary,529.0
IT,Umbria,2022-01-01,Primary,522.5
IT,Umbria,2023-01-01,Primary,465.3
IT,Valle d'Aosta/Vallée d'Aoste,2015-01-01,Primary,51.800000000000004
IT,Valle d'Aosta/Vallée d'Aoste,2016-01-01,Primary,54.4
IT,Valle d'Aosta/Vallée d'Aoste,2017-01-01,Primary,50.9
IT,Valle d'Aosta/Vallée d'Aoste,2018-01-01,Primary,54.5
IT,Valle d'Aosta/Vallée d'Aoste,2019-01-01,Primary,59.0
IT,Valle d'Aosta/Vallée d'Aoste,2020-01-01,Primary,48.8
IT,Valle d'Aosta/Vallée d'Aoste,2021-01-01,Primary,50.400000000000006
IT,Valle d'Aosta/Vallée d'Aoste,2022-01-01,Primary,50.0
IT,Valle d'Aosta/Vallée d'Aoste,2023-01-01,Primary,54.699999999999996
IT,Veneto,2015-01-01,Primary,3284.1000000000004
IT,Veneto,2016-01-01,Primary,3394.7
IT,Veneto,2017-01-01,Primary,3003.5
IT,Veneto,2018-01-01,Primary,3629.6
IT,Veneto,2019-01-01,Primary,3154.4
IT,Veneto,2020-01-01,Primary,3318.2999999999997
IT,Veneto,2021-01-01,Primary,3108.6
IT,Veneto,2022-01-01,Primary,3315.2000000000003
IT,Veneto,2023-01-01,Primary,3108.4
ES,Andalucía,2015-01-01,Primary,15088.903
ES,Andalucía,2016-01-01,Primary,15376.812000000002
ES,Andalucía,2017-01-01,Primary,16905.237
ES,Andalucía,2018-01-01,Primary,16744.881
ES,Andalucía,2019-01-01,Primary,15865.923
ES,Andalucía,2020-01-01,Primary,15792.273000000001
ES,Andalucía,2021-01-01,Primary,18260.347
ES,Andalucía,2022-01-01,Primary,20644.472999999998
ES,Andalucía,2023-01-01,Primary,20376.855000000003
ES,Andalucía,2024-01-01,Primary,21647.816
ES,Aragón,2015-01-01,Primary,3294.214
ES,Aragón,2016-01-01,Primary,3739.7169999999996
ES,Aragón,2017-01-01,Primary,3860.928000000001
ES,Aragón,2018-01-01,Primary,3722.593
ES,Aragón,2019-01-01,Primary,4050.2739999999994
ES,Aragón,2020-01-01,Primary,4092.0999999999995
ES,Aragón,2021-01-01,Primary,4325.036
ES,Aragón,2022-01-01,Primary,6046.833
ES,Aragón,2023-01-01,Primary,5606.155000000001
ES,Aragón,2024-01-01,Primary,5848.326999999999
ES,Canarias,2015-01-01,Primary,1747.5099999999998
ES,Canarias,2016-01-01,Primary,1679.0499999999997
ES,Canarias,2017-01-01,Primary,1823.3700000000001
ES,Canarias,2018-01-01,Primary,1875.4139999999998
ES,Canarias,2019-01-01,Primary,1965.812
ES,Canarias,2020-01-01,Primary,1920.4230000000002
ES,Canarias,2021-01-01,Primary,2072.485
ES,Canarias,2022-01-01,Primary,2938.7870000000003
ES,Canarias,2023-01-01,Primary,2619.6270000000004
ES,Canarias,2024-01-01,Primary,2676.0339999999997
ES,Cantabria,2015-01-01,Primary,598.4039999999998
ES,Cantabria,2016-01-01,Primary,661.987
ES,Cantabria,2017-01-01,Primary,685.113
ES,Cantabria,2018-01-01,Primary,724.7900000000002
ES,Cantabria,2019-01-01,Primary,699.8639999999998
ES,Cantabria,2020-01-01,Primary,691.3990000000001
ES,Cantabria,2021-01-01,Primary,810.8000000000001
ES,Cantabria,2022-01-01,Primary,944.6229999999999
ES,Cantabria,2023-01-01,Primary,844.5350000000001
ES,Cantabria,2024-01-01,Primary,856.2589999999999
ES,Castilla y León,2015-01-01,Primary,5022.241999999999
ES,Castilla y León,2016-01-01,Primary,5259.8319999999985
ES,Castilla y León,2017-01-01,Primary,4367.218
ES,Castilla y León,2018-01-01,Primary,5482.0459999999985
ES,Castilla y León,2019-01-01,Primary,5291.906000000001
ES,Castilla y León,2020-01-01,Primary,5387.060000000001
ES,Castilla y León,2021-01-01,Primary,6373.793999999999
ES,Castilla y León,2022-01-01,Primary,8182.75
ES,Castilla y León,2023-01-01,Primary,6839.297
ES,Castilla y León,2024-01-01,Primary,7136.227
ES,Castilla-La Mancha,2015-01-01,Primary,5541.712
ES,Castilla-La Mancha,2016-01-01,Primary,5997.396000000001
ES,Castilla-La Mancha,2017-01-01,Primary,6185.296
ES,Castilla-La Mancha,2018-01-01,Primary,6614.418
ES,Castilla-La Mancha,2019-01-01,Primary,6258.293
ES,Castilla-La Mancha,2020-01-01,Primary,6231.271999999999
ES,Castilla-La Mancha,2021-01-01,Primary,6825.046000000001
ES,Castilla-La Mancha,2022-01-01,Primary,8567.623
ES,Castilla-La Mancha,2023-01-01,Primary,7532.684000000001
ES,Castilla-La Mancha,2024-01-01,Primary,7989.643999999999
ES,Cataluña/Catalunya,2015-01-01,Primary,7623.521999999998
